name,pop,lat,lon,mean
Curitiba,82.56133333,-25.4809,-49.3044,5.70
Quito,86.87483333,-0.1807,-78.4678,4.86
Caracas,89.20708333,-10.4806,-66.9036,5.46
Florianopolis,90.27291667,-27.5949,-48.5482,4.70
Bogota,92.39566667,-4.711,-74.0721,4.35
Rio de Janeiro,92.55333333,-22.9068,-43.1729,4.75
Sao Paulo,96.82283333,-23.5505,-46.6333,5.45
Porto Alegre,97.10741667,-30.0346,-51.2177,5.25
Montevideo,99.79916667,-34.9011,-56.1645,5.11
Medellin,103.48325,-6.2486,-75.5742,4.57
Buenos Aires,103.7755,-34.6037,-58.3816,4.87
Asuncion,108.3605833,-25.2637,-57.5759,6.44
Santiago,122.3066667,-33.4489,-70.6693,5.10
